Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 33554432k(2543640k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.834: [Full GC (Metadata GC Threshold) 0.834: [Tenured: 0K->14257K(5592448K), 0.0533594 secs] 536863K->14257K(8108992K), [Metaspace: 20497K->20497K(1067008K)], 0.0534466 secs] [Times: user=0.10 sys=0.01, real=0.06 secs] 
2.246: [Full GC (Metadata GC Threshold) 2.246: [Tenured: 14257K->34218K(5592448K), 0.1096117 secs] 783764K->34218K(8108992K), [Metaspace: 33893K->33893K(1079296K)], 0.1096988 secs] [Times: user=0.44 sys=0.00, real=0.11 secs] 
5.595: [GC (Allocation Failure) 5.595: [DefNew: 2236928K->7996K(2516544K), 0.0108216 secs] 2271146K->42215K(8108992K), 0.0109179 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
6.965: [GC (Allocation Failure) 6.965: [DefNew: 2244924K->7374K(2516544K), 0.0084445 secs] 2279143K->41593K(8108992K), 0.0085464 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
8.297: [GC (Allocation Failure) 8.297: [DefNew: 2244302K->7360K(2516544K), 0.0073859 secs] 2278521K->41579K(8108992K), 0.0075601 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
9.454: [GC (Allocation Failure) 9.454: [DefNew: 2244288K->7423K(2516544K), 0.0057753 secs] 2278507K->41642K(8108992K), 0.0058710 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
10.547: [GC (Allocation Failure) 10.547: [DefNew: 2244351K->7371K(2516544K), 0.0051164 secs] 2278570K->41590K(8108992K), 0.0052086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.630: [GC (Allocation Failure) 11.630: [DefNew: 2244299K->7377K(2516544K), 0.0048871 secs] 2278518K->41596K(8108992K), 0.0049657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.780: [GC (Allocation Failure) 12.780: [DefNew: 2244305K->7347K(2516544K), 0.0054462 secs] 2278524K->41566K(8108992K), 0.0055350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.952: [GC (Allocation Failure) 13.952: [DefNew: 2244275K->7388K(2516544K), 0.0054068 secs] 2278494K->41607K(8108992K), 0.0054967 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
15.214: [GC (Allocation Failure) 15.215: [DefNew: 2244316K->7391K(2516544K), 0.0056169 secs] 2278535K->41609K(8108992K), 0.0057174 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
16.440: [GC (Allocation Failure) 16.440: [DefNew: 2244319K->7394K(2516544K), 0.0055327 secs] 2278537K->41612K(8108992K), 0.0056224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.128: [GC (Allocation Failure) 18.128: [DefNew: 2244322K->7369K(2516544K), 0.0049547 secs] 2278540K->41587K(8108992K), 0.0050332 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.227: [GC (Allocation Failure) 19.227: [DefNew: 2244297K->7388K(2516544K), 0.0048733 secs] 2278515K->41607K(8108992K), 0.0049533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.325: [GC (Allocation Failure) 20.325: [DefNew: 2244316K->7359K(2516544K), 0.0050829 secs] 2278535K->41577K(8108992K), 0.0051820 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
